timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751093064237,265,Select Pet type,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,4106,662,4,4,null,265,86,0
1751093064446,227,Select Pet-79,200,,Thread Group 1-4,text,true,,3928,630,4,4,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,227,0,0
1751093064430,227,Select Pet,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,3928,630,4,4,null,227,17,0
1751093064390,457,Payment Confirmation-86,500,,Thread Group 1-5,text,false,,15419,621,4,4,https://petstore.octoperf.com/actions/Order.action?newOrder=&confirmed=true,245,0,0
1751093064310,457,Payment Confirmation,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-5,,false,,15419,621,4,4,null,245,80,0
1751093064678,234,Select sub type-81,200,,Thread Group 1-6,text,true,,3807,655,4,4,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-1,234,0,0
1751093064588,234,Select sub type,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,3807,655,4,4,null,234,90,0
1751093064498,426,Payment Confirmation-86,500,,Thread Group 1-3,text,false,,15419,621,4,4,https://petstore.octoperf.com/actions/Order.action?newOrder=&confirmed=true,216,0,0
1751093064457,426,Payment Confirmation,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-3,,false,,15419,621,4,4,null,216,41,0
1751093064706,234,Select Pet type-80,200,,Thread Group 1-4,text,true,,4106,662,4,4,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,234,0,0
1751093064674,234,Select Pet type,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,4106,662,4,4,null,234,32,0
1751093064960,260,Add pet to cart-83,200,,Thread Group 1-6,text,true,,4664,655,4,4,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-1,260,0,0
1751093064912,260,Add pet to cart,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,4664,655,4,4,null,260,48,0
1751093064990,241,Select sub type-81,200,,Thread Group 1-4,text,true,,3807,655,4,4,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-1,241,0,0
1751093064940,241,Select sub type,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,3807,655,4,4,null,241,51,0
1751093064885,455,Sign Out-87,200,,Thread Group 1-5,text,true,,5278,1255,4,4,https://petstore.octoperf.com/actions/Catalog.action,231,0,0
1751093064885,231,Sign Out-87-0,302,,Thread Group 1-5,,true,,230,632,4,4,https://petstore.octoperf.com/actions/Account.action?signoff=,231,0,0
1751093065116,224,Sign Out-87-1,200,,Thread Group 1-5,text,true,,5048,623,4,4,https://petstore.octoperf.com/actions/Catalog.action,224,0,0
1751093064978,451,Sign Out-87,200,,Thread Group 1-3,text,true,,5278,1255,4,4,https://petstore.octoperf.com/actions/Catalog.action,230,0,0
1751093064978,230,Sign Out-87-0,302,,Thread Group 1-3,,true,,230,632,4,4,https://petstore.octoperf.com/actions/Account.action?signoff=,230,0,0
1751093065209,220,Sign Out-87-1,200,,Thread Group 1-3,text,true,,5048,623,4,4,https://petstore.octoperf.com/actions/Catalog.action,220,0,0
1751093065329,227,Proceed to checkout-84,200,,Thread Group 1-6,text,true,,4224,644,4,4,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,227,0,0
1751093065220,227,Proceed to checkout,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,4224,644,4,4,null,227,109,0
1751093065341,243,Sign Out-88,200,,Thread Group 1-5,text,true,,4973,623,4,4,https://petstore.octoperf.com/actions/Catalog.action,242,0,0
